;exp;edu;hab;v_tit;v_desc;score;training_score
0;Analista de desenvolvimento web,Desenvolvedor Front-End,Desenvolvedor Front-End,Instrutor Web;Tecn�?logo,Sistemas para Internet,Sistema de Informa̤̣o;HTML5,CSS,XHTML,WordPress,JavaScript,HTML,Adobe Photoshop,Adobe Dreamweaver,PHP,JQuery,Web Development,Git,Scrum,Google Analytics,MySQL,Dreamweaver,Front-end,Web design,User Interface Design,sass,less,Microsoft Excel,Linux,AJAX,GitHub,Microsoft Office,SQL,Desenvolvimento de sites,Sistema front-end,Desenvolvimento de interfaces,Design de interface do usu��rio,Experi̻ncia do usu��rio,SEO (Otimiza̤̣o de motores de busca),Aplicativos web,Metodologias ��geis;Programador em PHP / Bootstrat e Jquery; Desenvolvimento de e-commerce para o sistema de LojasVirtuais-BR, utilizando as linguagens de programa̵̤es PHP, MySQL, JavaScritp, jQuery, HTML, CSS, Bootstrap, entre outras., Ensino T̩cnico. Experi̻ncia com programa̤̣o em HTML, JavaScript, jQuery e PHP. Habilidades com gr��ficos / Web, como: Adobe Photoshop e Macromedia Dreamweaver.;8;0,2
1;the same;the same;the same;Desenvolvedor .NET; Microsoft SQL Server, C#, Amazon Web Services, ASP.NET MVC, JavaScript, Web Development, Google Analytics, JQuery, React.js, REST, CSS, Windows Phone, Com̩rcio eletr̫nico, E-commerce, Bootstrap, Scrum, Git, Microsoft Office., Experi̻ncia nas atividades descritas., Tecn�?logo ou Ensino Superior completo na ��rea de Tecnologia.;6;0,4
2;the same;the same;the same;Programador PHP/WEB; Manuten̤̣o e desenvolvimento de websites em HTML5, CSS3, PHP, MySQL, jQuery, Bootstrap, entre outros., Ensino Superior., SQL Server, C++, CSS, HTML, Java, jQuery, PHP, Gr��ficos/Web: Adobe Photoshop, Macromedia Dreamweaver, Microsoft Excel, Linux, Mac OS e Servidores Web.;7;0,3
3;the same;the same;the same;Designer de Interface; Desenvolvimento de front-end (HTML / CSS e JavaScript) de interfaces digitais, aplicativos web, sistemas, etc. Desenvolvimento de sites, landpages e t̩cnicas em framework front-end Bootstrap. Cria̤̣o de prot�?tipos, programa̤̣o front-end (HTML / CSS e Javascript), diagrama̤̣o de materiais e projetos educativos, objetos de aprendizagem e jogos., Experi̻ncia com desenvolvimento de interfaces digitais, viṣo de UX / UI, usabilidade e arquitetura de informa̤̣o. Dom�?nio em desenvolvimento web com HTML, CSS e JavaScript (jQuery, AngularJS), PHP, UI / UX design, metodologias ��geis, design print, design thinking e outros.;6;0,4
4;the same;the same;the same;Programador Front-end; Conhecimentos avan̤ados em: HTML5, SASS, JavaScript e versionamento. Experi̻ncia Front-end S̻nior. Atuar com desenvolvimento, programa̤̣o e teste.;7;0,3
5;the same;the same;the same;Desenvolvedor Web Front-end S̻nior; Atuar no desenvolvimento de aplica̵̤es WEB com especializa̤̣o em Front-end., Desej��vel Banco de dados (SQL, MySQL). API (RESTFull, Webservice). HTML avan̤ado. CSS avan̤ado. SEO avan̤ado. JavaScript intermedi��rio. SASS. Bootstrap. WordPress. PHP. Adobe Photoshop, Sketch/Adobe Illustrator. Desenvolvimento de interfaces responsivas com t̩cnicas de cross-browser e cross-device. Utiliza̤̣o de alguma ferramenta de gesṭo de c�?digo e versionamento, como: GIT e ou TFS.;8;0,2
6;the same;the same;the same;Programador Front-end; Desenvolvimento de websites e aplica̵̤es baseadas em HTML, CSS, Javascript, Node e NPM. Participa̤̣o em reuni̵es de an��lises de projetos. Otimiza̤̣o de acesso de websites (SEO) configura̤̣o de Google Analytics e DFP., Mandat�?rio conhecimento em HTML 5 e CSS 3, Sass, JavaScript e jQuery. Desej��vel conhecimento em UX (User Experience), Less e Gulp.;8;0,2
7;the same;the same;the same;Analista de Desenvolvimento Web; Atuar com sistemas operacionais (Windows / Windows Server / Linux), Skype for business, SharePoint. Experi̻ncia com desenvolvimento front-end, design responsive, mobile e cross-browser, desempenho, usabilidade e otimiza̤̣o e web performance, e- commerce. Experi̻ncia em otimiza̤̣o de back-end e front-end para performance de e-commerce. Experi̻ncia com ferramentas de controle de versionamento (Team Foundation Server, VSTS, GIT). Experi̻ncia em C#/VB (MVC / Webforms), SQL, HTML / CSS / JavaScript, Webservice, AngularJs, Bootstrap., Conhecimento em aplica̤̣o SEO, Google Analytics, Google TAG Manager. Conhecimentos em pacote Office (Word, Excel. PowerPoint, Outlook), Office 365. Ingl̻s intermedi��rio. Ensino Superior em TI.;8;0,2
8;the same;the same;the same;Programador PHP; Desenvolvimento de sistemas para Web em PHP base de dados MySQL com as normas W3C Tableless CSS. Desenvolvimento de sistemas como, portais, lojas virtuais, controle de vendas, controle de estoques, administra̤̣o de usu��rios, cria̤̣o de CMS e templates / temas para WORDPRESS e LMS MOODLE, focado em SEO, e m�?dias sociais., Conhecimentos em Javascript, HTML, CSS, XML, jQuery. Conhecimentos em SEO, arquitetura da informa̤̣o, usabilidade e navegabilidade. Dom�?nio de ferramentas e softwares para edi̤̣o e desenvolvimento Adobe Fireworks, Adobe Dreamweaver, programa̤̣o estruturada, programa̤̣o OP Orientada por Objeto, conhecimento em Framework cake PHP).;7;0,3
9;the same;the same;the same;Programador HTML5; Desenvolvimento de projetos de interface HTML5 com CSS e JavaScript, manuten̤̣o e testes., Conhecimento em HTML5. Conhecimento em CSS. Habilidade em desenvolvimento de interface de usu��rio em ambiente Web. Desej��vel habilidade em desenvolvimento de interface de usu��rio em ambiente m�?vel.;7;0,3
0;Co-Founder & CBO (Chief Business Officer),Information Technology (IT) Manager,Planning, Budget and Processes Advisor,Information Technology (IT) Manager,Senior Systems Analyst;Master of Business Administration (MBA),BIG DATA (DATA SCIENCE),Computer Engineering (Focus on Software),Computer Software Engineering,Superior,Mechanical Technician ��� Full Qualification,Tecnologia em Mec̢nica Industrial;Big Data,Data Science,Machine Learning,Gesṭo de TI,Gesṭo de infraestrutura de TI,Spark,R (Linguagem de Programa̤̣o),Hadoop,ERP (Planejamento de recursos empresariais),Planejamento estrat̩gico,SQL,Oracle,Microsoft SQL Server,Banco de dados,Servi̤os web,Linux,Intelig̻ncia empresarial,Desenvolvimento de software,ITIL,MySQL,JavaScript,UML,Web Services,Databases,Desenvolvimento de sites,Protheus,BPMN,Sistemas operacionais,Data Mining,Business Intelligence,An��lise Estat�?stica,Software Development,Minera̤̣o de dados,Lideran̤a de equipe,Scala,Functional programming,Computa̤̣o em nuvem,Gesṭo de projetos,Amazon Web Services,PMP (Profissional de gesṭo de projeto),COBIT,Microsoft Project,Microsoft Excel,Aprendizado de m��quina,ETL (Extra̤̣o, transforma̤̣o e carregamento),PL/SQL,Gerenciamento de servi̤os de TI,Project Management,Amazon Web Services (AWS),Gesṭo;Analista J̼nior de ETL; Desenvolvimento e manuten̤̣o de processos de ETL utilizando SSIS (Microsoft SQL Server Integration Services., Experi̻ncia em: Modelagem data warehouse., Ensino Superior completo em Ci̻ncia da Computa̤̣o, Sistema de Informa̤̣o e ��reas afins., Processos de carga ETL (extra̤̣o-transforma̤̣o- carga) nos bancos Oracle ou SQL Server PL/SQL, Data Manager, PowerCenter, Diferencial: SSIS (Integration Service), Data Tools, DataStage;7;0,3
1;the same;the same;the same;Gerente de Tecnologia da Informa̤̣o; Ser respons��vel pela ��rea de TI, gerenciamento e acompanhamento de projetos de implementa̤̣o de ERP, gesṭo da equipe de TI, gerenciamento de aplicativos, terceiriza̤̣o de infraestrutura, Telecom e servi̤os. Garantir o suporte e os ciclos de vida dos sistemas, a disponibilidade da estrutura de TI, o gerenciamento de seguran̤a da informa̤̣o e apresenta̤̣o de novos projetos., Ensino Superior completo em Sistemas de Informa̤̣o., Conhecimento em linguagem SQL, infraestrutura de TI (servidores, storages, redes, sistemas operacionais), softwares de gesṭo empresarial (ERP), linguagens de desenvolvimento Delphi ou Java, desenvolvimento web e em banco de dados Oracle.;8;0,2
2;the same;the same;the same;Gerente de TI/ Projetos; Gesṭo previa de times de Opera̤̣o ou Infraestrutura de TI. Gesṭo de Data Center e CPD (redes, blades, storages, servidores, cabeamento, normas, etc)., Experi̻ncia em requisitos de sistema. Experi̻ncia em gesṭo de projetos. Experi̻ncia nas seguintes ferramentas: PLSQL, SIEBEL, Power Center, MS Project, Banco de dados Oracle. , Gradua̤̣o completa em Engenharia da Computa̤̣o, Sistemas da Informa̤̣o e afins., Conhecer de banco de dados SQL e MySQL. Conhecer sistemas de CI e automa̤̣o. Conhecer de MS- Exchange Server.;4;0,6
3;the same;the same;the same;DBA SQL Server S̻nior; Atuar com banco de dados: SQL Server e Oracle, otimiza̤̣o de Queries, Tuning, views, jobs, cluster, triggers, back-up e restore, performance, troubleshoot, desenvolvimento de procedures em ambiente complexos e infraestrutura, com modelagem de bases de dados e migra̤̣o de vers̵es de bancos de dados, com desenvolvimento e implanta̤̣o de projetos BI e Big Data, ferramentas: Data Flow / Big Query / Data Studio. Desenvolver processos de integra̤̣o com ETL e relat�?rios. Definir modelagem e modelos de dados BI., Experi̻ncia em administra̤̣o de banco de dados. Ensino Superior.;3;0,7
4;the same;the same;the same;CTO - Chief Technology Officer; Gerenciamento no desenvolvimento de sistemas e neg�?cios, elaborando planilhas e relat�?rios da ��rea., Experi̻ncia em tecnologia e neg�?cio. Desej��vel experi̻ncia anterior em start up., Forma̤̣o em Ci̻ncias da Computa̤̣o ou Engenharia correlacionada., Conhecimentos avan̤ados em arquitetura de sistemas, programa̤̣o e projeto de software.;9;0,1
5;the same;the same;the same;Especialista em Tecnologia da Informa̤̣o - Redes; Atuar com gesṭo de infraestrutura de TI, gesṭo de aplica̵̤es e gesṭo de processos de neg�?cios entre outras atividades pertinentes ao cargo.;3;0,7
6;the same;the same;the same;Desenvolvedor HADOOP S̻nior; Confec̤̣o de especifica̤̣o t̩cnica detalhada dos projetos. Implementa̤̣o e manuten̤̣o de rotinas de captura, transforma̤̣o e persist̻ncia de dados usando ecossistema Hadoop (Big Data). Implementa̤̣o e manuten̤̣o de scripts de carga e movimenta̤̣o de dados. Implementa̤̣o e manuten̤̣o de rotinas em SQL. Execṳ̣o de testes unit��rios e integrados. Acompanhamento e suporte durante a implementa̤̣o dos projetos em ambiente produtivo., Superior completo na ��rea de TI. Experi̻ncia profissional atuando como desenvolvedor Java (back-end). S�?lidos conhecimentos de Linux/Unix, principalmente no desenvolvimento de shellscripts, SQL, experi̻ncia pr̩via em projetos de BI/Datawarehouse e atuando em projetos Big Data. Conhecimentos Obrigat�?rios: Java, SQL, Linux Shellscript, Hadoop, MapReduce, HDFS, Hive e GPDB - Greenplum Database.;6;0,4
7;the same;the same;the same;Coordenador de TI; Liderar Equipes e Gerenciamento de Projetos., Experi̻ncia em projetos de sistemas gerenciais de BI, datawarehouse., Conhecimento em Big Data e Analytics, Conhecimento R, m̩todos de data driven decision.;7;0,3
8;the same;the same;the same;Analista Desenvolvedor Java; Atuar como desenvolvedor com atividades de suporte �� usu��rio usando tecnologias Java num SaaS que aplica Big Data na gesṭo do cr̩dito e cobran̤a e atuar com atividades de suporte �� usu��rio usando tecnologias Java num SaaS que aplica Big Data na gesṭo do cr̩dito e cobran̤a., Experi̻ncia avan̤ada com programa̤̣o Java + Java Web. Framework Spring (Mvc, Data, Rest, etc). SQL. HTML, CSS, Javascript, Bootstrap. Desenvolvimento e integra̵̤es de APIs Restful. Ser�� um diferencial experi̻ncia com Big Data e AngularJS., Necess��rio Ensino Superior completo em Ci̻ncia da Computa̤̣o ou cursos afins. Desej��vel especializa̤̣o em curso ou conclu�?da.;5;0,5
9;the same;the same;the same;Gerente T̩cnico; Gerenciamento da equipe de suporte e infraestrutura. Sistemas operacionais servidores Windows e Linux. Virtualiza̤̣o, administra̤̣o de Storages e backup. Sistemas de correio eletr̫nico, gesṭo de servi̤os de TI, gerenciamento de projetos, seguran̤a da informa̤̣o, servidores de aplica̤̣o, banco de dados Oracle / SQL. Gesṭo de processos ITIL., Certifica̵̤es obrigat�?rias: ITIL v3-Foundations e certifica̤̣o de sistema operacional. Certifica̵̤es desej��veis: Linux LPI 2, ITIL v3 - Intermediate, 70- 411-Administering Windows Server 2012, 70-410 - Installing and Configuring Windows Server 2012, 70- 412-Configuring Advanced Windows Server 2012 Services, PMP e COBIT., Ensino Superior completo em qualquer ��rea de TI ou em qualquer ��rea e curso de P�?s-gradua̤̣o em TI.;3;0,7
0;Researcher,Mentor & Advisor,Editorial Board Member,Co-founder,Co-founder, CTO;Idea to IPO,Entrepreneurship/Entrepreneurial Studies,Dr.,Computer Science,A,In cooperation with UFRGS, Brazil, Dr. degree,Computer Science,Master of Science (M.Sc.),Computer Science,A,Bachelor of Technology (B.Tech.),Informatics,9.4 - from a range of 0 (worst) to 10 (best),B.Sc.,Mechanical Engineering,Elementary and high school;Computer Science,Software Development,Simulations,C++,Software Engineering,Algorithms,Programming,High Performance Computing,eHealth,R&D,Start-ups,Distributed Systems,Telemedicine,Entrepreneurship,Virtual Reality,Machine Learning,Project Management,Mobile Applications,Management,Strategy,Linux,Research and Development (R&D),High Performance Computing (HPC);Analista de Sistemas S̻nior - .Net / Cloud; Atuar com desenvolvimento .Net e Plataforma Cloud, realizar testes, an��lises e programa̵̤es. Superior completo em Tecnologia da Informa̤̣o. Experi̻ncia em desenvolvimento, implanta̤̣o e manuten̤̣o sistemas e APIs. Experi̻ncia no desenvolvimento em Microsoft Azure. Experi̻ncia no desenvolvimento em .Net 4.5 (Superior) & ASPNet. Experi̻ncia em bancos: Oracle, MySQL e SQL Server. Ingl̻s T̩cnico.;6;0,4
1;the same;the same;the same;CTO - Chief Technology Officer; Gerenciamento no desenvolvimento de sistemas e neg�?cios, elaborando planilhas e relat�?rios da ��rea., Experi̻ncia em tecnologia e neg�?cio. Desej��vel experi̻ncia anterior em start up., Forma̤̣o em Ci̻ncias da Computa̤̣o ou Engenharia correlacionada., Conhecimentos avan̤ados em arquitetura de sistemas, programa̤̣o e projeto de software.;8;0,2
2;the same;the same;the same;Analista Programador .NET; Trabalhar na manuten̤̣o da API CanIhelp, rob̫ e desenvolvimento de novas funcionalidades., Experi̻ncia em migration, ASP.NET Web API, Web Request C, MySQL, Entity Framework, Unity Of Work, Repository Pattern, DDD, Injection Dependency C / POO. ;4;0,6
3;the same;the same;the same;Desenvolvedor . Net; Atuar com desenvolvedor ASP.NET, Framework 4.5 ou superior, MVC, Front-end & Back-end, Experi̻ncia na ��rea descrita. ;3;0,7
4;the same;the same;the same;Analista de TI J̼nior; Atuar�� na ��rea de Engenharia da TV, para constrṳ̣o e manuten̤̣o de aplica̵̤es web e aplicativos orientados ��s ��reas de neg�?cio e ao telespectador., Conhecimento em Linguagens e tecnologias: PHP, JavaScript, HTML e CSS, Frameworks/Microframeworks: Laravel e Lumen, utiliza̤̣o de APIs REST, MySQL, versionamento GIT. Linguagem de programa̤̣o Python, Desenvolvimento mobile - iOS/Android, Utiliza̤̣o de servi̤os cloud como AWS/Google/Azure/IBM, Conhece ou utiliza ferramentas de BigData, Conhece ou utiliza ferramentas de Data Science, Gerenciamento b��sico do Linux como ambiente b��sico de servidores e Utiliza̤̣o de shell scripts.;2;0,8
5;the same;the same;the same;Analista Desenvolvedor Mobile; Atuar como desenvolvedor Mobile Xamarim par Android & iOS. Realizar a elabora̤̣o de requisitos e da programa̤̣o aplicativos mobile, desenvolve, testa e implementa. Elaborar e orientar atividades de corre̤̣o e manuten̤̣o dos programas. Codificar e realizar os testes e ajusta sistemas existentes para acompanhar as mudan̤as e necessidades dos usu��rios., Experi̻ncia como desenvolvedor Mobile Xamarim par Android & iOS.;3;0,7
6;the same;the same;the same;Programador Mobile iOS & Android; Atuar com desenvolvimento WEB e Mobile (nativo), Android Studio, XCODE / Swift 3.0, PHP, MySQL, HTML5, CSS3, jQuery e JavaScript., Experi̻ncia na ��rea., Ensino Superior completo.;3;0,7
7;the same;the same;the same;Desenvolvedor .NET - Pleno; Atua̤̣o com C#, ASP.NET WebForms, MySQL (SQL, DML e DDL). An��lise de especifica̵̤es e levantamento de requisitos, com JavaScript, HTML5, jQuery, APIs com Ajax, Rest, Soap, XML e JSon, al̩m de SVN., Seṛo diferenciais conhecimentos em Multi Threads, Generics, Amazon AWS, IIS e High Avaliability. Habilidades para trabalho em equipe fren̩tica. Ensino Superior.;3;0,7
8;the same;the same;the same;Analista de Tecnologia da Informa̤̣o; Projetar, instalar, configurar e monitorar a rede de computadores, configurar as pol�?ticas e procedimentos d ��rea de TI, oferecer solṳ̵es em inform��tica, prestar suporte t̩cnico ao usu��rio, acionar suporte de terceiros, instalar software e hardware, administrar os servi̤os de telefonia, sistemas e impressoras., Imprescind�?vel experi̻ncia com implanta̤̣o de sistemas., Ensino Superior completo.;2;0,8
9;the same;the same;the same;Full Stack Developer; Atuar com Development, realizar programa̤̣o, testes, configura̵̤es e as demais rotinas do cargo., Experi̻ncia em PHP, Javascript, jQuery, Databases, Web Applications, HTML5 & CSS3, Angular.JS, REST APIs, AWS, Website and Mobile Layout and Design.;3;0,7
0;Frontend Developer,Desenvolvedor Front-end,Programador Web,Estagi��rio Web Designer;An��lise e Desenvolvimento de Sistemas;HTML5,CSS,HTML,JSON,CSS 3,Javascript,jQuery,Bootstrap,Ajax,TFS,CSS Sprites,Sass,MySQL,PHP,Bower,Sharepoint,Target Process,Web design,JQuery,JavaScript,Less,GruntJS,NPM,Desenvolvimento de sites,Padr̵es web,Software de c�?digo aberto,Desenvolvimento de interfaces;Analista Programador Front-end; Atuar no desenvolvimento de produto e tecnologias, com HTML, JavaScript, CSS, Microsoft SQL e com diferentes frameworks, realizar a implementa̤̣o e a manuten̤̣o de novos sistemas e ajustar sistemas existentes, entre outras atividades., Experi̻ncia com HTML, CSS3, JavaScript, jQuery e Ajax, JSON, Bootstrap. Viv̻ncia com CSS PreProcessors (LESS / Sass). Experi̻ncia na fun̤̣o., Ensino Superior completo., Conhecimentos em Responsive / Adaptative Web Design, com sistemas de controle de verṣo Git e l�?gica de programa̤̣o.;8;0,2
1;the same;the same;the same;Desenvolvedor Front-end; Ir�� atuar em f��brica de software., Experi̻ncia no desenvolvimento de Javascript, Jquery, CSS, LESS, HTML5, SCRUM, JSON, WebAPI.;7;0,3
2;the same;the same;the same;Designer de Interface; Desenvolvimento de front-end (HTML / CSS e JavaScript) de interfaces digitais, aplicativos web, sistemas, etc. Desenvolvimento de sites, landpages e t̩cnicas em framework front-end Bootstrap. Cria̤̣o de prot�?tipos, programa̤̣o front-end (HTML / CSS e Javascript), diagrama̤̣o de materiais e projetos educativos, objetos de aprendizagem e jogos., Experi̻ncia com desenvolvimento de interfaces digitais, viṣo de UX / UI, usabilidade e arquitetura de informa̤̣o. Dom�?nio em desenvolvimento web com HTML, CSS e JavaScript (jQuery, AngularJS), PHP, UI / UX design, metodologias ��geis, design print, design thinking e outros.;6;0,4
3;the same;the same;the same;Programador Front-end; Atuar como web designer na cria̤̣o de novos sites e p��ginas com base em templates utilizando HTML 5, PHP, CSS 3 e Bootstrap, aplicando pr��ticas de SEO., Desej��veis conhecimentos avan̤ados em HTML 5, PHP, CSS 3 e Bootstrap.;7;0,3
4;the same;the same;the same;Desenvolvedor Front-end; Suporte para equipe em implementa̵̤es de design do front-end. Cria̤̣o de prot�?tipos de interface., Experi̻ncia no uso das tecnologias, como: HTML5, JavaScript, jQuery, CSS3, Twitter Bootstrap, NodeJS, AngularJS, SASS, Bower, Grunt e NPM. Viv̻ncia em desenvolvimento de sistemas que rodam em: Apache, Nginx, Jetty e JBoss. Conhecimento de automa̤̣o de testes: Jasmine, Protractor, Karma, Junit, Selenium, PHP. Experi̻ncia em controle de versionamento com Git e SVN (desej��vel).;8;0,2
5;the same;the same;the same;Web Developer PHP S̻nior; Atuar com programa̤̣o de Sistemas ERP em ambiente Web, testes e configura̵̤es. Ensino Superior na ��rea de Tecnologia ou Engenharia. S�?lidos conhecimentos de PHP / MySQL, HTML, CSS, Bootstrap, jQuery e JavaScript.;8;0,2
6;the same;the same;the same;Analista Programador Web - PHP; Desenvolvimento Web nas linguagens PHP, CSS, HTML, JavaScript com atua̤̣o utilizando JQuery, Ajax e MySQL., Conhecimentos de SQL Server e VB.NET seṛo diferenciais. Ensino Superior completo ou cursando em Tecnologia da Informa̤̣o.;8;0,2
7;the same;the same;the same;Programador Back-end; Atuar no desenvolvimento de sites e sistemas utilizando a tecnologia PHP, MySQL, HTML5, JavaScript e CSS., Ensino Superior.;8;0,2
8;the same;the same;the same;Programador Web; Conhecimentos em PHP, HTML5, CSS e MYSQL. Atuar com desenvolvimento, teste e programa̤̣o.;9;0,1
9;the same;the same;the same;Desenvolvedor Web; Ir�� desenvolver itera̵̤es no Frontend de sistemas Web e Mobile para clientes da empresa., Experi̻ncia em HTML, Javascript, CSS, JQuery e bootstrap. , Ensino Superior completo.;7;0,3
0;Programadora Java Pleno,Desenvolvedora Web J̼nior,Estagi��ria em Desenvolvimento Web,Ajudante Geral,Auxiliar de prodṳ̣o,Entrevistadora;P�?s-Gradua̤̣o,Engenharia Web,Bacharel em Sistemas de Informa̤̣o,Tecnologia da Informa̤̣o;AngularJS,JavaScript,HTML,CSS,JSF,Java,MySQL,JPA,Spring Framework,Bootstrap,PostgreSQL,UML,Java Enterprise Edition,Jasper Reports,Web Services,MVC,Servlets,REST,XHTML,Desenvolvimento de sites,Git;Programador S̻nior; Atuar com programa̤̣o ANGULAR, JAVASCRIPT, SCRUM, JAVA., Experi̻ncia na ��rea., Bacharel em Sistema da Informa̤̣o., Conhecimento em Ingl̻s.;7;0,3
1;the same;the same;the same;Analista Programador Java; Atuar no desenvolvimento de Sistema utilizando linguagem de programa̤̣o Java JSF. Atuar com sistema fiscal, prodṳ̣o, financeiro, cont��bil (ERP completo)., Experi̻ncia em desenvolvimento Java JSF, Banco de Dados PostgreSQL, Linux.;6;0,4
2;the same;the same;the same;Programador Java J̼nior; Atuar com desenvolvimento, teste e programa̤̣o. Ter bons conhecimentos em Java(J2EE), PHP, JSF, Ruby, Rails, HTML 5, CSS, JavaScript, Angular JS, jQuery, Bootstrap, Primefaces, Hibernate, Spring MVC, Spring Batch,Maven, Struts, Jasper Reports e Studio, SVN, Git, Nginx, Jboss, Server, SQL, Android SDK, Linux e Shell Script. Ensino Superior completo ou cursando.;6;0,4
