;exp;edu;hab;v_tit;v_desc;score;training_score
3;the same;the same;the same;Programador Trainee Java; Auxiliar no levantamento de requisitos, especificação técnica, avaliação e definição de arquitetura., Desejável conhecimentos básicos em Java EE, Java SE, SQL, HTML e Javascript. Necessário conhecimento em Spring Framework, Spring Boot, Spring Data, AWS, Angular JS e jQuery.;6;0,4
4;the same;the same;the same;Programador Java; Desenvolvimento de sistemas, desenvolvimento de software, Hibernate, JasperReports, Spring, Apache Tomcat, Apache Maven, CSS, HTML e JavaScript., Necessário experiência com projetos Java Web. Conhecimento em Orientação à Objetos. Desejável experiência com Apache Wicket. Noção básica de Linux. Experiência em Cloud Computing, Bootstrap, Web Services RESTful e/ou SOAP (XML e/ou JSON).;6;0,4
5;the same;the same;the same;Desenvolvedor HADOOP Sênior; Confecção de especificação técnica detalhada dos projetos. Implementação e manutenção de rotinas de captura, transformação e persistência de dados usando ecossistema Hadoop (Big Data). Implementação e manutenção de scripts de carga e movimentação de dados. Implementação e manutenção de rotinas em SQL. Execução de testes unitários e integrados. Acompanhamento e suporte durante a implementação dos projetos em ambiente produtivo., Superior completo na área de TI. Experiência profissional atuando como desenvolvedor Java (back-end). Sólidos conhecimentos de Linux/Unix, principalmente no desenvolvimento de shellscripts, SQL, experiência prévia em projetos de BI/Datawarehouse e atuando em projetos Big Data. Conhecimentos Obrigatórios: Java, SQL, Linux Shellscript, Hadoop, MapReduce, HDFS, Hive e GPDB - Greenplum Database.;7;0,3
6;the same;the same;the same;Desenvolvedor Java; Buscamos profissionais para atuar no desenvolvimento de software voltado para JAVA Web., Conhecimentos em AngularJS, Java 8, Spring Boot e Spring Security.;8;0,2
7;the same;the same;the same;Desenvolvedor Front-end Sênior; Atuar em Java, Spring Boot, Spring Data, Spring Framework, construção de serviços em arquiteturas REST, Docker, Angular 2, Html5m, CSS, jQuery e Spring Cloud., Conhecimentos em Java, Spring Boot, Spring Data, Spring Framework, construção de serviços em arquiteturas REST, Docker, Angular 2, Html5m, CSS, jQuerySpring Cloud é diferencial.;7;0,3
8;the same;the same;the same;Analista Desenvolvedor Java; Atuar como desenvolvedor com atividades de suporte à usuário usando tecnologias Java num SaaS que aplica Big Data na gestão do crédito e cobrança e atuar com atividades de suporte à usuário usando tecnologias Java num SaaS que aplica Big Data na gestão do crédito e cobrança., Experiência avançada com programação Java + Java Web. Framework Spring (Mvc, Data, Rest, etc). SQL. HTML, CSS, Javascript, Bootstrap. Desenvolvimento e integrações de APIs Restful. Será um diferencial experiência com Big Data e AngularJS., Necessário Ensino Superior completo em Ciência da Computação ou cursos afins. Desejável especialização em curso ou concluída.;9;0,1
9;the same;the same;the same;Programador Java EE Pleno; Desenvolver, testar e analisar bugs e correções., Experiência com JAVA EE., Ensino Superior cursando., Conhecimentos Obrigatórios: Java EE e Orientação a Objetos, Spring Data JPA, etc), JPA e Hibernate e HTML5, CSS3 e JavaScript. Conhecimentos Desejáveis: Angular 4 (é um grande diferencial!), RESTful Web Services, SOAP, JSF e CDI, Ecossistema Spring (Spring MVC, Spring Boot, Spring Data JPA, etc), Struts e Android.;7;0,3
0;Desenvolvedor Android,Desenvolvedor .Net / Android,Desenvolvedor .NET,Desenvolvedor .NET Senior,Analista de Sistemas,Web Developer,Web Developer,Web Developer;Bacharel,Sistemas de Informação;SQL,Microsoft SQL Server,Android,C#,UML,Scrum,MySQL,Oracle,.NET,Software Development,Android Development,Team Leadership,Desenvolvimento de software;Desenvolvedor Android Sênior; Atuar com desenvolvimento, manutenção de Aplicativos para Android e programação.;8;0,2
1;the same;the same;the same;Analista de Sistemas Pleno; Desenvolvimento web com .NET. Desenvolvimento mobile para Android e IOS (nativos)., Experiência com C# e Android Studio e Swift.;8;0,2
2;the same;the same;the same;Web Developer PHP Sênior; Atuar com programação de Sistemas ERP em ambiente Web, testes e configurações. Ensino Superior na área de Tecnologia ou Engenharia. Sólidos conhecimentos de PHP / MySQL, HTML, CSS, Bootstrap, jQuery e JavaScript.;5;0,5
3;the same;the same;the same;Desenvolvedor Mobile; Desenvolvimento, programação e manutenção do aplicativo Android., Experiência com Android. ;7;0,3
4;the same;the same;the same;Desenvolvedor Mobile iOS; Desenvolvimento, programação e manutenção do aplicativo Android., Experiência com Android. ;7;0,3
5;the same;the same;the same;Desenvolvedor Mobile Android; Desenvolver para dispositivos móveis atuando em projetos mobile internos e externos. Atuar com desenvolvimento Android (Android Studio), desenvolvimento Java e HTML. Realizar testes e configurações., Experiência em desenvolvimento Android (Android Studio), Java e HTML.;7;0,3
6;the same;the same;the same;Programador Desenvolvedor Android; Atuar com programação Java no Android Studio, programação PHP ou ASP.NET., Ensino Superior na área de Tecnologia.;7;0,3
7;the same;the same;the same;Programador Full Stack Developer; Atuará em Startup com as seguintes experiências: Html, CSS, JavaScript, Node JS e Banco de dados SQL., Desejável experiência como programador Full Stack developer., Ensino Superior completo na área de TI.;5;0,5
8;the same;the same;the same;Analista Programador Android; Desenvolvimento nativo para Android. Programação Java. Frameworks para Android. WebServices. APIs. Controle de código., Conhecimento na área.;7;0,3
9;the same;the same;the same;Programador Android; Atuar com desenvolvimento/manutenção de aplicativo Android nativo com Android Studio e Android SDK., Experiência com controle de versão utilizando Git. Experiência em desenvolvimento .NET C#, MVC Web Api (Desenvolvimento/consumo).;7;0,3
0;IBM Security Channels - SaaS / MaaS360 , IBM Security,Digital Developer Representative  - Security Software  and Services,Inside Sales Account Manager na McAfee,Inside Sales Account Manager na McAfee,Licensing Account Manager Microsoft,INSIDE TERRITORY MANAGER na empresa Microsoft Corporation,Seller,TECHNICAL PROPOSAL,Seller,INDUSTRIAL PROCESS TECHNICIAN,Trabalho Voluntário;TECNOLOGO DE PROCESSOS GERENCIAIS,ADMINISTRAÇÃO,TECNICO DE MECATRONICA,Mechanical Engineering Related Technologies/Technicians;Venda de soluções de software,Gestão,Gestão de vendas,Gestão de contas,Estratégia,Computação em nuvem,Parceria de canal,Inside sales,Sistemas operacionais,Estratégia empresarial,SaaS,Segurança,Solution Selling,Account Management,Gestão de relação de clientes,Inteligência empresarial,Sales Management,Processo de venda,Business Strategy,Rede de computadores,Cloud Computing,Management,Channel Partners,Operating Systems,Strategy,Networking,Segurança da informação,Business Intelligence,Sales Communication - Digital Story,Digital Research;Arquiteto de Software; Trabalhar com arquitetura de sistemas de software, definição de arquitetura para sistemas corporativos e inglês para conversação com colaboradores do exterior. Experiência com arquitetura de software. Diferencial conhecimento de BPM (Business Process Management) e interesse em aprender novas tecnologias.;4;0,6
1;the same;the same;the same;Analista de Desenvolvimento Web; Realizarar atividades permanente ao cargo., Experiência em banco de dados SQL e MySQL. Experiência com e-commerce. , Conhecimentos em aplicações Web, HTML5, CSS, PHP. Conhecimento em Sales force são diferenciais.;4;0,6
2;the same;the same;the same;Consultor De Vendas - Software Erp; Atender clientes do para venda de software ERP, CRM e BI, identificar soluções e necessidades técnicas e elaborar proposta comercial., Ensino Médio completo., Aplicações de Escritório: Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word.;6;0,4
3;the same;the same;the same;Desenvolvedor Websphere Sênior; Desenvolvimento de mediação e processo de negócio, programar, codificar e testar sistemas. Executar a manutenção dos sistemas, fazendo eventuais correções necessárias, visando atender às necessidades dos usuários, entre outras atividades., Experiência prática com bancos de dados relacionais. Experiência com Java 7+., Conhecimentos de desenvolvimento de integrações, definições de arquitetura e orientação a objetos. Domínio da linguagem de programação Java, em especial para a especificação Java EE. Eficácia na elaboração de testes unitários e funcionais. Conhecimento de BPEL, BPMn e SCA. Transformações, XML e schemas. Desenvolvimento de serviços SOAP e Restful. Desejável conhecimento em suite IBM de produtos BPM, IBM Integration designer, IBM process designer, WebSphere Application Server, business process Manager, WebSphere e business monitor. Modelagem de serviços, processo e dados. Desenvolvimento de queries e stored procedures em Oracle 12g.;4;0,6
4;the same;the same;the same;Especialista em Tecnologia da Informação - Redes; Atuar com gestão de infraestrutura de TI, gestão de aplicações e gestão de processos de negócios entre outras atividades pertinentes ao cargo.;4;0,6
5;the same;the same;the same;Desenvolvedor Java; Buscamos profissionais para atuar no desenvolvimento de software voltado para JAVA Web., Conhecimentos em AngularJS, Java 8, Spring Boot e Spring Security.;4;0,6
6;the same;the same;the same;Analista de Suporte Técnico; Fazer análise técnica, suporte de sistemas empresarias para gestão de pessoas e empresarial., Experiência em SQL, lógica de programação, administração.;4;0,6
7;the same;the same;the same;Técnico de Suporte Gestão Empresarial; Irá prestar suporte técnico para instalação, configuração e manutenção de software e hardware., Ensino Médio completo. Desejável Ensino Superior em Administração ou Informática, Conhecimento em banco de Dados SQL. Conhecimento de informática, gestão corporativa. Conhecimento médio em SQL e Rede. ;4;0,6
8;the same;the same;the same;Analista de Sistemas Pleno; Análise de sistemas web, documentação, modelagem de banco de dados, testes, desenvolvimento em C#, ASP.Net. Conhecimentos na área de e-procurment, sourcing e sales e Pós-graduação são diferenciais.;4;0,6
9;the same;the same;the same;Arquiteto de Sistemas; Arquitetura e desenvolvimento SOA e API, incluindo ferramentas Oracle SOA Suite e IBM API Managment, gestão de ferramenta IBM API Management. Apoio a equipe de desenvolvimento, gestão de ferramentas DEVOPS para integração contínua., Experiência como Arquiteto de integrações SOA / API. Experiência em arquitetura e desenvolvimento de integrações., Ensino Superior em TI.;4;0,6
0;Consulting IT Specialist - IT Architecutre,Integration and SOA Architect,Technical Lead - EDS BestShore,Sr. Analyst,Systems Analyst and Developer,Team Lead, Trainee;Bachelor of Commerce (B.Com.),Accounting and Finance,Masters Diploma in IT,Systems Engineering;SOA,Enterprise Architecture,Solution Architecture;Trainee em Sistemas da Informação / Ciências da Computação; Atuar na área de desenvolvimento Java., Ensino Superior cursando.;5;0,5
1;the same;the same;the same;Desenvolvedor Web Júnior; Programa, codifica e testa sistemas. Utiliza tecnologias tecnologia Java, JavaScript, Html, PHP, MySQL e SQL Server., Conhecimento em AngularJS, NET e C#. Microsoft .NET Architecture. ;5;0,5
2;the same;the same;the same;Desenvolvedor .Net , C++; Atuar com .NET, C,C++ , Framework .NET 4.5, SQL SERVER, QUEUE, TFS. Desejável : ISO8583, Embedded systems, Gateways de pagamento., Experiência na área descrita. ;5;0,5
3;the same;the same;the same;Desenvolvedor Java; Realiza as fases de elaboração de requisitos e da programação de sistemas Java, desenvolve, testa e implementa., Experiência comprovada em desenvolvimento Java / WEB. E commerce,, Conhecimento em Arquitetura SOA.;5;0,5
4;the same;the same;the same;Programador C# Pleno; Atuar com desenvolvimento, ter conhecimentos: desenviolamento em aplicação Backend, Programação Multi-thread, Programação Multi Camadas, Programação Orientada a Objetos, Linux e Windows, C#, Node.js, NoSQL, SQL, Message Queue e Cache, JSON, XML, REST. Desejável ter conhecimento em Design patterns, TCP/IP communication, Typescript and Angular.JS. Ter inglês (leitura e escrita avançado)., Experiência na área. , Superior completo.;5;0,5
5;the same;the same;the same;Desenvolvedor Java; Atuar com Java. Maven. Databases (MySQL and MongoDB). Tomcat. Eclipse. Unit testing. Distributed version control. Devops culture. Cloud architecture. AWS experience. Docker;0;1
6;the same;the same;the same;Analista de Sistemas SOA; Atuar e desenvolver sistemas em SOA., Conhecimentos:SOA Suite (OSB);0;1
7;the same;the same;the same;Analista Programador .NET; Atuar no desenvolvimento de programas, programar, codificar utilizando linguagem .NET, fazer correções e afins., Experiência em MS Visual Studio 2017, TFS, Crystal Report XI e SQL Server (Procedure, Function e Transact SQL). , Conhecimentos em Angular JS 2 e Arquitetura DDD. Conhecimentos em BootStrap, Responsive Design, JSON, Cross-browser, WEBAPI e seguros de vida. CISSP - Certified Information Systems Security profissional.;5;0,5
8;the same;the same;the same;Analista Desenvolvedor SOA; Atuar em desenvolvimento, análise e arquitetura de integrações e soluções Oracle Fusion Middleware SOA 11g., Necessário experiência em integração de sistemas através de serviços SOA, Filas JMS/AQ. Experiência em Consumo Web service, Consumo de APIs REST. Conhecimentos em AngularJS, CSS, Boostrap, NodeJS e HTML5., Ter conhecimento em Java.;8;0,2
9;the same;the same;the same;Full Stack Developer; Atuar com Development, realizar programação, testes, configurações e as demais rotinas do cargo., Experiência em PHP, Javascript, jQuery, Databases, Web Applications, HTML5 & CSS3, Angular.JS, REST APIs, AWS, Website and Mobile Layout and Design.;5;0,5
0;Desenvolvedor web,Desenvolvedor .NET;Bacharel Análise de Sistemas,Tecnologia da Informação,A;Silverlight,AngularJS,Microsoft .NET,JavaScript,SQL,C#,Desenvolvimento de software,UML,Scrum,Microsoft SQL Server,Serviços web,ASP.NET,HTML,Software Development,.NET,Web Services,CSS;Programador Sênior; Atuar com programação ANGULAR, JAVASCRIPT, SCRUM, JAVA., Experiência na área., Bacharel em Sistema da Informação., Conhecimento em Inglês.;8;0,2
1;the same;the same;the same;Desenvolvedor .NET; Microsoft SQL Server, C#, Amazon Web Services, ASP.NET MVC, JavaScript, Web Development, Google Analytics, JQuery, React.js, REST, CSS, Windows Phone, Comércio eletrônico, E-commerce, Bootstrap, Scrum, Git, Microsoft Office., Experiência nas atividades descritas., Tecnólogo ou Ensino Superior completo na área de Tecnologia.;7;0,3
2;the same;the same;the same;Analista Desenvolvedor .NET Pleno; Atuar com análise e desenvolvimento .NET., Necessário experiência com C, ASP .NET MVC, ASP .NET WebForms e Microsoft SQL Server. Desejável experiência com SVN, HTML5, CSS3, Bootstrap, JQuery, JavaScript e Scrum., Ensino Superior., Conhecimento em Banco de Dados: SQL Server Programação: ASP.Net, C#, CSS, Dot Net, HTML, JavaScript, jQuery.;8;0,2
3;the same;the same;the same;Analista Programador; Atuar na área de análise e desenvolvimento de Sistemas com .NET C#, (ASP.NET MVC 5) Framework 4.5 com banco de dados SQL Server 2008 (Criação / manutenção de stored procedures / functions / views). Desenvolvimento e manutenção de sistemas, integrações, desenvolvimento back end e front end., Conhecimentos em .NET C#, Framework (4.5), ASP.NET MVC, WebForm, Web Services, TFS, Bootstrap, jQuery, Json, XML, AngularJS, HTML, JavaScript, CSS e Microsoft SQL Server 2008. Experiência em programação utilizando .NET (C#).;8;0,2
4;the same;the same;the same;Analista - Desenvolvedor de Software .NET C# Pleno; Atuar como desenvolvedor de Software .NET C# Pleno que seja pró ativo, organizado e com facilidade para trabalhar em equipe.  Experiência com Desenvolvimento C#, desenvolvimento de WCF e Windows Services Experiência com Microsoft, SQL Server Experiência com UML.;8;0,2
5;the same;the same;the same;Analista Programador; Desenvolvimento de sistemas em plataforma Microsoft .NET e SQL Server, testes, implantação de melhorias e participação em diversos projetos., Ensino Superior completo ou cursando na área de Tecnologia., Conhecimento em banco de dados SQL Server, desenvolvimento em .NET, C#, ASP.NET, MVC, BOOTSTRAP, WCF, API RESTFULL, WEB SERVICES, jQuery, Angular. Desejável certificação Microsoft.;8;0,2
6;the same;the same;the same;Analista de Sistemas; Atuar na área de análise e desenvolvimento de Sistemas com .NET C#, (ASP.NET MVC 5) Framework 4.5 com banco de dados SQL Server 2008 (Criação / manutenção de stored procedures / functions / views). Desenvolvimento e manutenção de sistemas, integrações, desenvolvimento back end e front end., Conhecimentos em .NET C#, Framework (4.5), ASP.NET MVC, WebForm, Web Services, TFS, Bootstrap, jQuery, Json, XML, AngularJS, HTML, JavaScript, CSS e Microsoft SQL Server 2008. Experiência em programação utilizando .NET (C#).;8;0,2
7;the same;the same;the same;Desenvolvedor Web .NET; Desenvolvedor Web em ambiente Microsoft C#.Net, Asp.Net, MVC,, Ágil e proativo., Conhecimento de Javascript, CSS, T-SQL, SQL Server;8;0,2
8;the same;the same;the same;Programador; Desenvolvimento .NET C#. Depuração e testes de sistemas., Experiência nas atividades descritas e SQL Server., Ensino Superior em Bacharel cursando ou completo em Sistemas de Informação, Ciência da Computação, Engenharia da Computação ou Engenharia de Software.;8;0,2
9;the same;the same;the same;Desenvolvedor Sênior / Pleno; Atuar com desenvolvimento de sistema web com utilização de recursos como Microsoft .NET, C#, ASP.NET, MVC.;7;0,3
0;Data Scientist;Mestrado em ciências da computação,Sistemas inteligentes,Bacharel em Matemática Computacional,Matemática e Ciência da Computação;Microsoft Excel,Python,Linux,Matlab,C (linguagem de programação);Programador Sênior; Atuar com programação ANGULAR, JAVASCRIPT, SCRUM, JAVA., Experiência na área., Bacharel em Sistema da Informação., Conhecimento em Inglês.;3;0,7
1;the same;the same;the same;Desenvolvedor .NET; Atuar como desenvolvedor pleno em projetos de tecnologia com o que há de mais recente em plataforma web e mobile., Curso Técnico., Cursos de ASP, VB.Net, Ruby, R, Python, PHP, jQuery, JavaScript, Java, HTML, MATLAB, Dot Net, Cuda extensions, CSS, COBOL, C++, C+, C#, C, ASP.Net, Erlang. Aplicações de Escritório: StarOffice, Open Office, Microsoft Word, Microsoft PowerPoint, LibreOffice, Microsoft Excel, Microsoft Access, Lotus Notes, Microsoft Outlook. Sistemas Operacionais: JavaOS, Windows.;3;0,7
2;the same;the same;the same;Programador; Desenvolvimento .NET C#. Depuração e testes de sistemas., Experiência nas atividades descritas e SQL Server., Ensino Superior em Bacharel cursando ou completo em Sistemas de Informação, Ciência da Computação, Engenharia da Computação ou Engenharia de Software.;4;0,6
3;the same;the same;the same;Desenvolvedor de Sistemas Sênior; Analisar e desenvolver projetos de sistemas, levanta requisitos, mapeia processos e realiza modelagem de dados, com objetivo de estudar e implementar sistemas de acordo com as regras de negócio, solucionar problemas técnicos e elaborar manuais. Realizar manutenção corretivas / evolutivas em softwares existentes de alta complexidade. Desenvolver sistemas / módulos de alta complexidade., Conhecimentos técnicos: Java, Linux, SQL Server, Oracle, Inglês técnico e PHP. Desejável conhecimento em tratamento de dados. Ensino Superior em Análise de Sistemas, Desenvolvimento de Sistemas, Engenharia de Software, Matemática, Engenharia, Física, Ciência da Computação, Engenharia da Computação ou afins.;4;0,6
4;the same;the same;the same;Programador C#; Desenvolver softwares na linguagem C, programar, codificar e testar sistemas., Experiência em desenvolvimento C#, em aplicações Web, MVC ou Web Forms., Habilidade em Lógica e Matemática. Banco de dados SQL Server - Intermediário ou avançado.;4;0,6
5;the same;the same;the same;Desenvolvedor Mobile; Programar, desenvolver, codificar e testar nas plataformas Android e/ou iOS. Executar a manutenção dos sistemas, fazendo eventuais correções necessárias, visando atender às necessidades dos usuários/Clientes. Desenvolver trabalhos de montagem, depuração e testes de programas, executando serviços de manutenção em programas., Experiência em aplicativos iOS e Android., Ensino Superior Engenharia de Software, Matemática, Ciência da Computação, Sistemas de Informação, Análise de Sistemas ou Engenharia da Computação., Conhecimento Aplicativos iOS e Android, Desenvolvimento web, Desenvolvimento MVC, Interfaces para acesso a bancos de dados SQL Server, Administração de IIS e Pacote Office.;4;0,6
6;the same;the same;the same;Analista Especialista em Integração De Dados; Atuar com programação, Java, jQuery, MATLAB, PHP, VB.Net, R, Ruby, HTML, Python, Erlang, JavaScript, Cuda extensions, CSS, COBOL, C++, C+, C#, C, ASP.Net, ASP, Dot Net., Conhecimento em Microsoft Word, Microsoft PowerPoint, Microsoft Excel, Microsoft Outlook Sistemas Operacionais: VMS, FreeBSD, IBM OS, JavaOS, Linux, Mac OS, NetBSD, NT 4.0, Solaris, UNIX, Windows.;4;0,6
7;the same;the same;the same;Analista de Sistemas; Instalação e gerenciamento em servidores Windows (AD, DNS, File Server, Backup) Suporte ao usuário, etc., Técnico ou Bacharel em Ciência da Computação., Conhecimentos em Windows e Mac.;4;0,6
8;the same;the same;the same;Programador iOS Pleno; Atuar na criação, manutenção, sistemas nos aplicativos da empresa. Desenvolver aplicativos em Swift para iPhone/iPad, codifica e testa., Domínio da linguagem Swift, conhecimentos sobre Core Data e Firebase. Noções de bancos NoSQL como Mongodb, linguagens como Python, mercado financeiro ou facilidade com matemática financeira serão considerados diferenciais.;4;0,6
9;the same;the same;the same;Programador Android Pleno; Desenvolver e dar manutenção nos aplicativos da empresa. Atuar com Java, Android, entre outras atividades., Experiência com Android, Material Design, segurança de aplicativos. Experiência no mercado financeiro ou facilidade com matemática financeira serão considerados diferenciais, mas não são uma exigência.;4;0,6
0;Parceiro de Negócios / Business Partner,Buscando oportunidades na minha área de conhecimento (projetos ou parcerias de longo prazo),Professor - Planejamento Estratégico e Gestão de Projetos,Gerente de Projetos / Partner Manager,Parceiro de Negócios / Business Partner,Professor MBA / MBA Professor - Estratégia e Gestão,Parceiro de Negócios / Business Partner,Gerente de Planejamento Estratégico / Strategic Planning Manager,Project Manager / Gerente de Projetos,Consultor / Consultant;Project Management Professional - PMP,Project Management,Pós MBA em Liderança Colaborativa e Docência Empresarial,Gestão de Pessoas com Ênfase em Liderança Organizacional,Educação Executiva,Planejamento Financeiro,Especialista / Expert,Administração de Empresas / Business Administration,Economista / Economist,Graduação / Graduation;Business Process Improvement,PMO,Strategy,Balanced Scorecard,Estratégia empresarial,Strategic Planning,Risk Management,PMP,Business Strategy,Estratégia,Gestão,Project Management,PMI,Management,Management Consulting,Project Portfolio Management,Melhoria de processos empresariais,Gestão de projetos,Performance Management,PMO (Escritório de projetos),Process Improvement,Leadership,Planejamento estratégico,Consultoria de gestão,PMBOK,Six Sigma,PMI (Project Management Institute),Planejamento de projetos,Melhoria de processos,Change Management,Continuous Improvement,Gestão da mudanças,Gestão de portfólio de projetos,Strategic Financial Planning,Project Planning,Portfolio Management,Business Modeling,Business Model Innovation,Supply Chain Management,Quality Management;Arquiteto de Software; Trabalhar com arquitetura de sistemas de software, definição de arquitetura para sistemas corporativos e inglês para conversação com colaboradores do exterior. Experiência com arquitetura de software. Diferencial conhecimento de BPM (Business Process Management) e interesse em aprender novas tecnologias.;4;0,6
1;the same;the same;the same;Consultor SAP Business One; Dar apoio a equipe comercial com Demonstrações do ERP. Fazer a instalação e configuração do ERP SAP Business One. Fazer a implantação do ERP (Business BluePrint, Configuração de Parâmetros, Importação de Dados, Capacitação de Usuários, Validação de Processos, Acompanhamento Pós Golive), implantação de Add-ons (Fiscal e Bancário), instalação, configuração e desenvolvimento de delatórios em CRYSTAL REPORTS., Experiência com consultoria de negócios e sistemas e implantação de ERP SAP Business One. Experiência em desenvolvimento de relatórios em CRYSTAL REPORTS, desejável conhecimento no SAP Lumira. Desejável conhecimento de ITIL e metodologias de Gestão de Projetos., Ensino Superior completo em Contabilidade, Administração ou equivalentes.;4;0,6
